zone,iso_year,month,week_no,est_adult_no,est_juvenile_no,est_wetland_ha,est_river_ha,river_avg_water_temp,river_temp_spawning_state,waterbody_avg_water_temp,waterbody_temp_spawning_state,aggregation_high_no,aggregation_low_no,aggregation_switch
1,2000,2,8,39167.23,515829.47,0,1123.47,22.09,Optimum,22.92,Optimum,0,140,0
1,2000,2,9,35591.65,447816.47,0,1123.47,22.43,Optimum,23.67,Moderate,0,140,0
1,2000,3,10,32150.34,414985.69,0,936.22,20.2,Optimum,21.41,Optimum,0,140,0
1,2000,3,11,30705.92,329885.72,0,936.22,22.23,Optimum,23.1,Moderate,0,140,0
1,2000,3,12,30287.91,337790.54,0,936.22,19.07,Optimum,20.7,Optimum,0,140,0
1,2000,3,13,29187.36,330655.08,0,936.22,18.35,Moderate,19.51,Optimum,0,140,0
1,2000,4,14,37022.8,424898.55,0,1123.47,17.21,Moderate,18.47,Moderate,0,140,0
1,2000,4,15,34531.37,386951.59,0,1123.47,16.88,Moderate,17.84,Moderate,0,140,0
1,2000,4,16,32647.21,324735.55,0,1123.47,14.02,Poor,14.85,Poor,0,140,0
1,2000,4,17,32647.21,324735.55,0,1123.47,13.95,Poor,14.53,Poor,0,140,0
1,2000,5,18,34717.02,363521.96,0,1123.47,15.54,Poor,15.61,Poor,0,140,0
1,2000,5,19,32647.21,324735.55,0,1123.47,12.59,Poor,12.99,Poor,0,140,0
1,2000,5,20,32647.21,324735.55,0,1123.47,10.81,Poor,11.45,Poor,0,140,0
1,2000,5,21,32647.21,324735.55,0,1123.47,10.2,Poor,10.66,Poor,0,140,0
1,2000,5,22,32647.21,324735.55,0,1123.47,8.48,Poor,8.96,Poor,0,140,0
1,2000,6,23,32647.21,324735.55,0,1123.47,8.48,Poor,8.79,Poor,0,140,0
1,2000,6,24,32093.98,319324.31,0,1123.47,8.89,Poor,9.2,Poor,0,140,0
1,2000,6,25,32093.98,319324.31,0,1123.47,9.97,Poor,10.3,Poor,0,140,0
1,2000,6,26,33973.78,351325.57,0,1123.47,9.27,Poor,9.66,Poor,0,140,0
1,2000,7,27,32754.37,372993.77,0,936.22,9.47,Poor,9.81,Poor,0,140,0
1,2000,7,28,32672.08,340532.26,0,936.22,8.41,Poor,8.88,Poor,0,140,0
1,2000,7,29,31093.36,320171.48,0,936.22,8.72,Poor,9.12,Poor,0,140,0
1,2000,7,30,32984.02,348747.4,0,936.22,8.95,Poor,9.26,Poor,0,140,0
1,2000,7,31,32754.37,372993.77,0,936.22,9.77,Poor,10.12,Poor,0,140,0
1,2000,8,32,39062.69,460492.86,0,1123.47,10.45,Poor,10.89,Poor,0,140,0
1,2000,8,33,39434.54,464380.32,0,1123.47,10.46,Poor,10.82,Poor,0,140,0
1,2000,8,34,39846.4,475227.12,0,1123.47,11.2,Poor,11.74,Poor,0,140,0
1,2000,8,35,63096.05,652348.34,661.3,1123.47,11.86,Poor,12.4,Poor,0,140,0
1,2000,9,36,73292.68,998080.7,1193.26,936.22,12.45,Poor,13.15,Poor,0,140,0
1,2000,9,37,74761.51,1046430.91,1247.91,936.22,13.11,Poor,13.77,Poor,0,140,0
1,2000,9,38,74677.41,1030593.5,1258.95,936.22,14.15,Poor,14.96,Poor,0,140,0
1,2000,9,39,65808.15,894391.19,868.48,936.22,15.83,Poor,16.77,Moderate,0,140,0
1,2000,10,40,42026.7,507080.09,68.24,1123.47,14.88,Poor,15.98,Poor,0,140,0
1,2000,10,41,39192.79,469311.3,0,1123.47,15.34,Poor,16.66,Moderate,0,140,0
1,2000,10,42,40908.14,543319.69,0,1123.47,16.14,Moderate,17.07,Moderate,0,140,0
1,2000,10,43,40679.74,534916.41,0,1123.47,17.22,Moderate,18.18,Moderate,0,140,0
1,2000,10,44,40091.55,518569.11,0,1123.47,17.88,Moderate,18.87,Moderate,0,140,0
1,2000,11,45,39901.7,473530.19,0,1123.47,17.97,Moderate,19.24,Optimum,0,140,0
1,2000,11,46,41969.89,579493.56,0,1123.47,19.27,Optimum,20.29,Optimum,2,138,1
1,2000,11,47,81982.6,1475008.52,1096.81,1123.47,20.33,Optimum,21.35,Optimum,3,137,1
1,2000,11,48,82758.09,1479002.7,1161.31,1123.47,21.26,Optimum,22.35,Optimum,0,140,0
1,2000,12,49,40045.45,516349.07,0,1123.47,21.28,Optimum,22.51,Optimum,0,140,0
1,2000,12,50,41942.61,531751.84,0,1123.47,22.82,Optimum,24.15,Moderate,0,140,0
1,2000,12,51,40085.52,540129.14,0,1123.47,23.2,Moderate,24.86,Moderate,0,140,0
1,2000,12,52,40085.52,540129.14,0,1123.47,20.8,Optimum,22.78,Optimum,0,140,0
1,2001,1,1,32304.98,442969,0,936.22,22.77,Optimum,24.43,Moderate,0,140,0
1,2001,1,2,32800.33,447788.69,0,936.22,23.2,Moderate,24.98,Moderate,0,140,0
1,2001,1,3,32548.63,438115.19,0,936.22,23.86,Moderate,25.64,Moderate,0,140,0
1,2001,1,4,31970.67,444356.59,0,936.22,25.69,Moderate,26.94,Moderate,0,140,0
1,2001,1,5,31970.67,427475.65,0,936.22,23.27,Moderate,25.18,Moderate,0,140,0
1,2001,2,6,33664.98,445498.76,0.43,936.22,23.41,Moderate,25.07,Moderate,0,140,0
1,2001,2,7,32782.79,448228.88,0,936.22,22.49,Optimum,24.49,Moderate,0,140,0
1,2001,2,8,32222.37,437760.19,0,936.22,21.8,Optimum,23.53,Moderate,0,140,0
1,2001,2,9,32544.45,428921.05,0,936.22,22.94,Optimum,24.43,Moderate,0,140,0
1,2001,3,10,32640.38,429855.37,0,936.22,21.02,Optimum,22.94,Optimum,0,140,0
1,2001,3,11,32800.33,438763.09,0,936.22,19.56,Optimum,21.42,Optimum,0,140,0
1,2001,3,12,32676.24,387351.6,0,936.22,17.75,Moderate,19.18,Optimum,0,140,0
1,2001,3,13,30039.72,344407.27,0,936.22,16.85,Moderate,18.3,Moderate,0,140,0
1,2001,4,14,32800.33,438628.57,0,936.22,17.51,Moderate,18.69,Moderate,0,140,0
1,2001,4,15,33056.29,413190.66,0,936.22,15.93,Poor,17.27,Moderate,0,140,0
1,2001,4,16,32982.11,419835.89,0,936.22,16.46,Moderate,17.44,Moderate,0,140,0
1,2001,4,17,31777.8,322329.36,0,936.22,14.13,Poor,15.23,Poor,0,140,0
1,2001,4,18,27876.75,272995.81,0,936.22,14.28,Poor,15.17,Poor,0,140,0
1,2001,5,19,27207.04,270616.09,0,936.22,12.46,Poor,13.51,Poor,0,140,0
1,2001,5,20,27518.98,278831.23,0,936.22,12.19,Poor,13.16,Poor,0,140,0
1,2001,5,21,32769.1,372771.93,0,936.22,10.29,Poor,10.99,Poor,0,140,0
1,2001,5,22,32769.1,372771.93,0,936.22,9.72,Poor,10.26,Poor,0,140,0
1,2001,6,23,31108.09,319949.64,0,936.22,11.32,Poor,11.44,Poor,0,140,0
1,2001,6,24,28010.95,275982.79,0,936.22,10.07,Poor,10.4,Poor,0,140,0
1,2001,6,25,27207.04,270616.09,,936.22,8.76,Poor,9.21,Poor,0,140,0
1,2001,6,26,26745.87,266105.2,,936.22,8.63,Poor,8.97,Poor,0,140,0
1,2001,7,27,26723.02,266105.2,0,936.22,8,Poor,8.39,Poor,0,140,0
1,2001,7,28,26745.87,266105.2,0,936.22,9.75,Poor,9.95,Poor,0,140,0
1,2001,7,29,26745.87,266105.2,0,936.22,9.02,Poor,9.46,Poor,0,140,0
1,2001,7,30,27207.04,270616.09,0,936.22,9.81,Poor,10.12,Poor,0,140,0
1,2001,7,31,27207.04,270616.09,0,936.22,9.56,Poor,10.07,Poor,0,140,0
1,2001,8,32,27207.04,270616.09,0,936.22,9.49,Poor,10.01,Poor,0,140,0
1,2001,8,33,27235.91,279010.96,0,936.22,10.81,Poor,11.35,Poor,0,140,0
1,2001,8,34,32421.49,368919.98,0,936.22,9.96,Poor,10.71,Poor,0,140,0
1,2001,8,35,32862.88,386983.88,0,936.22,11.3,Poor,11.69,Poor,0,140,0
1,2001,9,36,32553.07,383745.02,0,936.22,12.36,Poor,12.97,Poor,0,140,0
1,2001,9,37,33213.9,396228.5,0,936.22,13.16,Poor,13.83,Poor,0,140,0
1,2001,9,38,32769.1,372771.93,0,936.22,14.4,Poor,15.06,Poor,0,140,0
1,2001,9,39,33438.81,375151.65,0,936.22,14.57,Poor,15.6,Poor,0,140,0
1,2001,10,40,33438.81,402442.55,0,936.22,15.02,Poor,16.05,Moderate,0,140,0
1,2001,10,41,32769.1,400062.83,0,936.22,14.72,Poor,15.76,Poor,0,140,0
1,2001,10,42,32514.39,409459.87,0,936.22,15.36,Poor,16.39,Moderate,0,140,0
1,2001,10,43,33832.93,443757.14,0,936.22,16.94,Moderate,18.17,Moderate,0,140,0
1,2001,10,44,33263.8,433908.77,0,936.22,16.82,Moderate,18.34,Moderate,0,140,0
1,2001,11,45,33420.26,440111.46,0,936.22,19.01,Optimum,20.52,Optimum,0,140,0
1,2001,11,46,33355.63,437227.79,0,936.22,17.58,Moderate,19.21,Optimum,0,140,0
1,2001,11,47,33420.26,440111.46,0,936.22,18.39,Moderate,20.23,Optimum,0,140,0
1,2001,11,48,32815.06,443477.91,0,936.22,20.42,Optimum,22.21,Optimum,0,140,0
1,2001,12,49,32640.38,429855.37,0,936.22,21.05,Optimum,22.98,Optimum,2,138,1
1,2001,12,50,32640.38,429855.37,0,936.22,20.02,Optimum,22.04,Optimum,2,138,1
1,2001,12,51,34318.89,447630.37,0,936.22,21.88,Optimum,23.52,Moderate,2,138,1
1,2001,12,52,34318.89,447630.37,0,936.22,20.49,Optimum,22.68,Optimum,2,138,1
1,2002,12,1,6863.96,89522.39,0,187.22,21.33,Optimum,23.18,Moderate,2,138,1
