zone,iso_year,month,week_no,est_adult_no,est_juvenile_no,est_wetland_ha,est_river_ha,river_avg_water_temp,river_temp_spawning_state,waterbody_avg_water_temp,waterbody_temp_spawning_state,aggregation_high_no,aggregation_mod_no,aggregation_low_no,aggregation_switch
3,2000,2,8,31273.46,629216.31,851.21,,24.94,Moderate,25.63,Moderate,0,0,8,0
2,2000,2,8,162620.05,1831990.23,633.2,2693.93,24.79,Moderate,24.76,Moderate,0,2,659,0
1,2000,2,8,43824.87,574790.17,0,1166.17,24.59,Moderate,22.72,Optimum,0,0,187,0
4,2000,2,8,101698.27,968938.83,179.97,1718.71,24.62,Moderate,24.52,Moderate,0,0,308,0
5,2000,2,8,51821.06,869814.48,1389.29,452.49,24.51,Moderate,22.22,Optimum,0,0,29,0
6,2000,2,8,74437.81,1502330.91,2026.07,,24.9,Moderate,25.55,Moderate,0,0,3,0
7,2000,2,8,8412.32,61495.5,0.71,242.13,24.51,Moderate,24.58,Moderate,0,0,103,0
8,2000,2,8,99643.21,1468799.75,1244.57,959.39,24.34,Moderate,24.87,Moderate,0,0,246,0
8,2000,2,9,121256.26,1905001.97,1832.84,959.39,24.55,Moderate,24.66,Moderate,0,0,246,0
1,2000,2,9,40648.75,514113.07,0,1166.17,24.65,Moderate,23.46,Moderate,0,0,187,0
2,2000,2,9,150364.85,1602085.46,497.7,2693.93,24.57,Moderate,25.23,Moderate,0,2,659,0
7,2000,2,9,8407.56,61415,0.36,242.13,24.14,Moderate,25.61,Moderate,0,0,103,0
6,2000,2,9,194512.21,4576913.71,5294.29,,24.74,Moderate,27.96,Moderate,0,0,3,0
5,2000,2,9,98084.41,2350797.62,2778.58,452.49,24.12,Moderate,22.79,Optimum,0,0,29,0
4,2000,2,9,99818.3,1041915.26,368.21,1718.71,24.57,Moderate,24.57,Moderate,0,0,308,0
3,2000,2,9,33844.89,789543.53,921.2,,24.99,Moderate,27.6,Moderate,0,0,8,0
4,2000,3,10,89954.98,975802.54,355.56,1432.3,22.66,Optimum,22.65,Optimum,6,0,302,1
7,2000,3,10,7002.14,51107.29,0,201.78,22.56,Optimum,23.51,Moderate,0,0,103,0
1,2000,3,10,36077.61,465645.58,0,971.67,22.63,Optimum,21.23,Optimum,0,0,187,0
3,2000,3,10,27345.58,548652.87,744.3,,22.97,Optimum,24.36,Moderate,0,0,8,0
5,2000,3,10,59991.01,1037661.85,1662.15,377.09,22.54,Optimum,20.58,Optimum,0,0,29,0
6,2000,3,10,184211.42,4334533.84,5013.92,,22.96,Optimum,24.68,Moderate,0,0,3,0
2,2000,3,10,130555.26,1420338.19,453.39,2244.48,22.85,Optimum,23.13,Moderate,0,2,659,0
8,2000,3,10,65696.05,874137.69,565.44,799.32,22.37,Optimum,22.89,Optimum,2,0,244,1
3,2000,3,11,26442.51,531093.02,719.72,,23.47,Moderate,26.39,Moderate,0,0,8,0
4,2000,3,11,84579.28,899006.93,344.8,1432.3,23.08,Moderate,23.06,Moderate,0,6,308,0
2,2000,3,11,118971.9,1176125.68,243.03,2244.48,23.14,Moderate,23.46,Moderate,0,2,659,0
7,2000,3,11,7002.14,51107.29,0,201.78,22.73,Optimum,25.12,Moderate,0,0,103,0
1,2000,3,11,32070.36,367620.34,0,971.67,23.21,Moderate,23,Moderate,0,0,187,0
8,2000,3,11,75873.76,1079548.02,842.46,799.32,23.04,Moderate,23.19,Moderate,0,2,246,0
6,2000,3,11,166098.23,3908326.7,4520.91,,23.45,Moderate,26.19,Moderate,0,0,3,0
5,2000,3,11,23209.03,398801.63,545.72,377.09,22.92,Optimum,21.78,Optimum,0,0,29,0
7,2000,3,12,7092.89,52938.8,2.47,201.78,21.02,Optimum,22.84,Optimum,0,0,103,0
1,2000,3,12,31746.41,374029.11,0,971.67,21.21,Optimum,20.62,Optimum,0,0,187,0
8,2000,3,12,57223.8,703147.8,334.84,799.32,21.02,Optimum,21.5,Optimum,2,0,244,1
5,2000,3,12,66115.13,1139216.63,1796.34,377.09,21.11,Optimum,19.55,Optimum,0,0,29,0
4,2000,3,12,82115.34,859469.55,321.47,1432.3,21.19,Optimum,21.06,Optimum,6,0,302,1
3,2000,3,12,933.56,16456.27,25.41,,21.6,Optimum,24.53,Moderate,0,0,8,0
