"start_date","end_date","iso_year","year","week","month"
"1999-12-27","2000-01-02","1999","2000","52","1"
"2000-01-03","2000-01-09","2000","2000","1","1"
"2000-01-10","2000-01-16","2000","2000","2","1"
"2000-01-17","2000-01-23","2000","2000","3","1"
"2000-01-24","2000-01-30","2000","2000","4","1"
"2000-01-31","2000-02-06","2000","2000","5","2"
"2000-02-07","2000-02-13","2000","2000","6","2"
"2000-02-14","2000-02-20","2000","2000","7","2"
"2000-02-21","2000-02-27","2000","2000","8","2"
"2000-02-28","2000-03-05","2000","2000","9","3"
"2000-03-06","2000-03-12","2000","2000","10","3"
"2000-03-13","2000-03-19","2000","2000","11","3"
"2000-03-20","2000-03-26","2000","2000","12","3"
"2000-03-27","2000-04-02","2000","2000","13","4"
"2000-04-03","2000-04-09","2000","2000","14","4"
"2000-04-10","2000-04-16","2000","2000","15","4"
"2000-04-17","2000-04-23","2000","2000","16","4"
"2000-04-24","2000-04-30","2000","2000","17","4"
"2000-05-01","2000-05-07","2000","2000","18","5"
"2000-05-08","2000-05-14","2000","2000","19","5"
"2000-05-15","2000-05-21","2000","2000","20","5"
"2000-05-22","2000-05-28","2000","2000","21","5"
"2000-05-29","2000-06-04","2000","2000","22","6"
"2000-06-05","2000-06-11","2000","2000","23","6"
"2000-06-12","2000-06-18","2000","2000","24","6"
"2000-06-19","2000-06-25","2000","2000","25","6"
"2000-06-26","2000-07-02","2000","2000","26","7"
"2000-07-03","2000-07-09","2000","2000","27","7"
"2000-07-10","2000-07-16","2000","2000","28","7"
"2000-07-17","2000-07-23","2000","2000","29","7"
"2000-07-24","2000-07-30","2000","2000","30","7"
"2000-07-31","2000-08-06","2000","2000","31","8"
"2000-08-07","2000-08-13","2000","2000","32","8"
"2000-08-14","2000-08-20","2000","2000","33","8"
"2000-08-21","2000-08-27","2000","2000","34","8"
"2000-08-28","2000-09-03","2000","2000","35","9"
"2000-09-04","2000-09-10","2000","2000","36","9"
"2000-09-11","2000-09-17","2000","2000","37","9"
"2000-09-18","2000-09-24","2000","2000","38","9"
"2000-09-25","2000-10-01","2000","2000","39","9"
"2000-10-02","2000-10-08","2000","2000","40","10"
"2000-10-09","2000-10-15","2000","2000","41","10"
"2000-10-16","2000-10-22","2000","2000","42","10"
"2000-10-23","2000-10-29","2000","2000","43","10"
"2000-10-30","2000-11-05","2000","2000","44","11"
"2000-11-06","2000-11-12","2000","2000","45","11"
"2000-11-13","2000-11-19","2000","2000","46","11"
"2000-11-20","2000-11-26","2000","2000","47","11"
"2000-11-27","2000-12-03","2000","2000","48","12"
"2000-12-04","2000-12-10","2000","2000","49","12"
"2000-12-11","2000-12-17","2000","2000","50","12"
"2000-12-18","2000-12-24","2000","2000","51","12"
"2000-12-25","2000-12-31","2000","2000","52","12"
"2001-01-01","2001-01-07","2001","2001","1","1"
"2001-01-08","2001-01-14","2001","2001","2","1"
"2001-01-15","2001-01-21","2001","2001","3","1"
"2001-01-22","2001-01-28","2001","2001","4","1"
"2001-01-29","2001-02-04","2001","2001","5","2"
"2001-02-05","2001-02-11","2001","2001","6","2"
"2001-02-12","2001-02-18","2001","2001","7","2"
"2001-02-19","2001-02-25","2001","2001","8","2"
"2001-02-26","2001-03-04","2001","2001","9","3"
"2001-03-05","2001-03-11","2001","2001","10","3"
"2001-03-12","2001-03-18","2001","2001","11","3"
"2001-03-19","2001-03-25","2001","2001","12","3"
"2001-03-26","2001-04-01","2001","2001","13","3"
"2001-04-02","2001-04-08","2001","2001","14","4"
"2001-04-09","2001-04-15","2001","2001","15","4"
"2001-04-16","2001-04-22","2001","2001","16","4"
"2001-04-23","2001-04-29","2001","2001","17","4"
"2001-04-30","2001-05-06","2001","2001","18","5"
"2001-05-07","2001-05-13","2001","2001","19","5"
"2001-05-14","2001-05-20","2001","2001","20","5"
"2001-05-21","2001-05-27","2001","2001","21","5"
"2001-05-28","2001-06-03","2001","2001","22","6"
"2001-06-04","2001-06-10","2001","2001","23","6"
"2001-06-11","2001-06-17","2001","2001","24","6"
"2001-06-18","2001-06-24","2001","2001","25","6"
"2001-06-25","2001-07-01","2001","2001","26","6"
"2001-07-02","2001-07-08","2001","2001","27","7"
"2001-07-09","2001-07-15","2001","2001","28","7"
"2001-07-16","2001-07-22","2001","2001","29","7"
"2001-07-23","2001-07-29","2001","2001","30","7"
"2001-07-30","2001-08-05","2001","2001","31","8"
"2001-08-06","2001-08-12","2001","2001","32","8"
"2001-08-13","2001-08-19","2001","2001","33","8"
"2001-08-20","2001-08-26","2001","2001","34","8"
"2001-08-27","2001-09-02","2001","2001","35","9"
"2001-09-03","2001-09-09","2001","2001","36","9"
"2001-09-10","2001-09-16","2001","2001","37","9"
"2001-09-17","2001-09-23","2001","2001","38","9"
"2001-09-24","2001-09-30","2001","2001","39","9"
"2001-10-01","2001-10-07","2001","2001","40","10"
"2001-10-08","2001-10-14","2001","2001","41","10"
"2001-10-15","2001-10-21","2001","2001","42","10"
"2001-10-22","2001-10-28","2001","2001","43","10"
"2001-10-29","2001-11-04","2001","2001","44","11"
"2001-11-05","2001-11-11","2001","2001","45","11"
"2001-11-12","2001-11-18","2001","2001","46","11"
"2001-11-19","2001-11-25","2001","2001","47","11"
"2001-11-26","2001-12-02","2001","2001","48","12"
"2001-12-03","2001-12-09","2001","2001","49","12"
"2001-12-10","2001-12-16","2001","2001","50","12"
"2001-12-17","2001-12-23","2001","2001","51","12"
"2001-12-24","2001-12-30","2001","2001","52","12"
"2001-12-31","2002-01-06","2002","2002","1","1"
"2002-01-07","2002-01-13","2002","2002","2","1"
"2002-01-14","2002-01-20","2002","2002","3","1"
"2002-01-21","2002-01-27","2002","2002","4","1"
"2002-01-28","2002-02-03","2002","2002","5","2"
"2002-02-04","2002-02-10","2002","2002","6","2"
"2002-02-11","2002-02-17","2002","2002","7","2"
"2002-02-18","2002-02-24","2002","2002","8","2"
"2002-02-25","2002-03-03","2002","2002","9","3"
"2002-03-04","2002-03-10","2002","2002","10","3"
"2002-03-11","2002-03-17","2002","2002","11","3"
"2002-03-18","2002-03-24","2002","2002","12","3"
"2002-03-25","2002-03-31","2002","2002","13","3"
"2002-04-01","2002-04-07","2002","2002","14","4"
"2002-04-08","2002-04-14","2002","2002","15","4"
"2002-04-15","2002-04-21","2002","2002","16","4"
"2002-04-22","2002-04-28","2002","2002","17","4"
"2002-04-29","2002-05-05","2002","2002","18","5"
"2002-05-06","2002-05-12","2002","2002","19","5"
"2002-05-13","2002-05-19","2002","2002","20","5"
"2002-05-20","2002-05-26","2002","2002","21","5"
"2002-05-27","2002-06-02","2002","2002","22","6"
"2002-06-03","2002-06-09","2002","2002","23","6"
"2002-06-10","2002-06-16","2002","2002","24","6"
"2002-06-17","2002-06-23","2002","2002","25","6"
"2002-06-24","2002-06-30","2002","2002","26","6"
"2002-07-01","2002-07-07","2002","2002","27","7"
"2002-07-08","2002-07-14","2002","2002","28","7"
"2002-07-15","2002-07-21","2002","2002","29","7"
"2002-07-22","2002-07-28","2002","2002","30","7"
"2002-07-29","2002-08-04","2002","2002","31","8"
"2002-08-05","2002-08-11","2002","2002","32","8"
"2002-08-12","2002-08-18","2002","2002","33","8"
"2002-08-19","2002-08-25","2002","2002","34","8"
"2002-08-26","2002-09-01","2002","2002","35","8"
"2002-09-02","2002-09-08","2002","2002","36","9"
"2002-09-09","2002-09-15","2002","2002","37","9"
"2002-09-16","2002-09-22","2002","2002","38","9"
"2002-09-23","2002-09-29","2002","2002","39","9"
"2002-09-30","2002-10-06","2002","2002","40","10"
"2002-10-07","2002-10-13","2002","2002","41","10"
"2002-10-14","2002-10-20","2002","2002","42","10"
"2002-10-21","2002-10-27","2002","2002","43","10"
"2002-10-28","2002-11-03","2002","2002","44","11"
"2002-11-04","2002-11-10","2002","2002","45","11"
"2002-11-11","2002-11-17","2002","2002","46","11"
"2002-11-18","2002-11-24","2002","2002","47","11"
"2002-11-25","2002-12-01","2002","2002","48","11"
"2002-12-02","2002-12-08","2002","2002","49","12"
"2002-12-09","2002-12-15","2002","2002","50","12"
"2002-12-16","2002-12-22","2002","2002","51","12"
"2002-12-23","2002-12-29","2002","2002","52","12"
"2002-12-30","2003-01-05","2003","2003","1","1"
"2003-01-06","2003-01-12","2003","2003","2","1"
"2003-01-13","2003-01-19","2003","2003","3","1"
"2003-01-20","2003-01-26","2003","2003","4","1"
"2003-01-27","2003-02-02","2003","2003","5","2"
"2003-02-03","2003-02-09","2003","2003","6","2"
"2003-02-10","2003-02-16","2003","2003","7","2"
"2003-02-17","2003-02-23","2003","2003","8","2"
"2003-02-24","2003-03-02","2003","2003","9","3"
"2003-03-03","2003-03-09","2003","2003","10","3"
"2003-03-10","2003-03-16","2003","2003","11","3"
"2003-03-17","2003-03-23","2003","2003","12","3"
"2003-03-24","2003-03-30","2003","2003","13","3"
"2003-03-31","2003-04-06","2003","2003","14","4"
"2003-04-07","2003-04-13","2003","2003","15","4"
"2003-04-14","2003-04-20","2003","2003","16","4"
"2003-04-21","2003-04-27","2003","2003","17","4"
"2003-04-28","2003-05-04","2003","2003","18","5"
"2003-05-05","2003-05-11","2003","2003","19","5"
"2003-05-12","2003-05-18","2003","2003","20","5"
"2003-05-19","2003-05-25","2003","2003","21","5"
"2003-05-26","2003-06-01","2003","2003","22","5"
"2003-06-02","2003-06-08","2003","2003","23","6"
"2003-06-09","2003-06-15","2003","2003","24","6"
"2003-06-16","2003-06-22","2003","2003","25","6"
