ddate,avg_est_watertemp
1993-01-01,23.71
1993-02-01,22.6
1993-03-01,18.53
1993-04-01,16.44
1993-05-01,11.68
1993-06-01,7.85
1993-07-01,9.79
1993-08-01,9.57
1993-09-01,11.4
1993-10-01,13.65
1993-11-01,17.35
1993-12-01,19.79
1994-01-01,22.5
1994-02-01,22.97
1994-03-01,17.64
1994-04-01,15.24
1994-05-01,11.5
1994-06-01,9.5
1994-07-01,7.66
1994-08-01,8.0
1994-09-01,10.88
1994-10-01,14.98
1994-11-01,18.27
1994-12-01,23.28
1995-01-01,21.85
1995-02-01,21.43
1995-03-01,18.72
1995-04-01,13.07
1995-05-01,12.34
1995-06-01,8.96
1995-07-01,6.76
1995-08-01,10.58
1995-09-01,11.55
1995-10-01,15.6
1995-11-01,18.09
1995-12-01,19.41
1996-01-01,22.47
1996-02-01,19.86
1996-03-01,18.88
1996-04-01,13.79
1996-05-01,12.46
1996-06-01,9.37
1996-07-01,7.88
1996-08-01,8.74
1996-09-01,10.87
1996-10-01,15.08
1996-11-01,16.06
1996-12-01,20.31
1997-01-01,21.88
1997-02-01,24.79
1997-03-01,19.34
1997-04-01,15.65
1997-05-01,12.44
1997-06-01,8.17
1997-07-01,7.12
1997-08-01,7.97
1997-09-01,11.52
1997-10-01,15.1
1997-11-01,20.66
1997-12-01,22.88
1998-01-01,23.86
1998-02-01,23.18
1998-03-01,21.34
1998-04-01,16.16
1998-05-01,11.4
1998-06-01,8.39
1998-07-01,7.2
1998-08-01,10.05
1998-09-01,12.42
1998-10-01,13.39
1998-11-01,16.34
1998-12-01,21.42
1999-01-01,25.05
1999-02-01,21.8
1999-03-01,19.58
1999-04-01,13.77
1999-05-01,11.96
1999-06-01,8.9
1999-07-01,8.37
1999-08-01,9.19
1999-09-01,12.89
1999-10-01,15.61
1999-11-01,15.48
1999-12-01,19.74
2000-01-01,20.01
2000-02-01,22.76
2000-03-01,20.8
2000-04-01,15.47
2000-05-01,10.85
2000-06-01,7.85
2000-07-01,7.44
2000-08-01,8.76
2000-09-01,12.47
2000-10-01,14.28
2000-11-01,18.72
2000-12-01,21.67
2001-01-01,24.18
2001-02-01,23.34
2001-03-01,18.9
2001-04-01,15.72
2001-05-01,10.73
2001-06-01,8.83
2001-07-01,8.15
2001-08-01,8.51
2001-09-01,12.6
2001-10-01,13.74
2001-11-01,16.94
2001-12-01,19.12
2002-01-01,21.33
2002-02-01,20.8
2002-03-01,19.58
2002-04-01,17.21
2002-05-01,11.74
2002-06-01,8.93
2002-07-01,7.59
2002-08-01,9.7
2002-09-01,12.61
2002-10-01,15.84
2002-11-01,21.14
2002-12-01,22.15
2003-01-01,24.46
2003-02-01,23.31
2003-03-01,18.77
2003-04-01,15.8
2003-05-01,11.61
2003-06-01,9.87
2003-07-01,8.61
2003-08-01,9.04
2003-09-01,11.8
2003-10-01,13.89
2003-11-01,17.98
2003-12-01,20.85
2004-01-01,22.76
2004-02-01,22.79
2004-03-01,19.14
2004-04-01,15.08
2004-05-01,9.49
2004-06-01,8.9
2004-07-01,7.57
2004-08-01,9.38
2004-09-01,11.83
2004-10-01,15.55
2004-11-01,18.73
2004-12-01,21.09
2005-01-01,22.82
2005-02-01,20.89
2005-03-01,18.45
2005-04-01,16.71
2005-05-01,10.78
2005-06-01,8.52
2005-07-01,8.89
2005-08-01,9.25
2005-09-01,12.03
2005-10-01,15.9
2005-11-01,19.21
2005-12-01,21.58
2006-01-01,25.13
2006-02-01,23.18
2006-03-01,19.73
2006-04-01,13.47
2006-05-01,10.05
2006-06-01,7.5
2006-07-01,8.49
2006-08-01,9.07
2006-09-01,12.86
2006-10-01,13.99
2006-11-01,18.17
2006-12-01,20.23
2007-01-01,20.05
2007-02-01,21.3
2007-03-01,19.69
2007-04-01,15.26
2007-05-01,11.57
2007-06-01,6.99
2007-07-01,7.26
2007-08-01,10.3
2007-09-01,11.97
2007-10-01,14.04
2007-11-01,18.18
2007-12-01,21.53
2008-01-01,21.7
2008-02-01,19.97
2008-03-01,17.75
2008-04-01,12.19
2008-05-01,10.43
2008-06-01,9.05
2008-07-01,7.41
2008-08-01,8.13
2008-09-01,12.74
2008-10-01,17.19
2008-11-01,18.55
2008-12-01,20.36
2009-01-01,20.6
2009-02-01,21.02
2009-03-01,18.51
2009-04-01,14.54
2009-05-01,10.64
2009-06-01,7.89
2009-07-01,8.06
2009-08-01,9.96
2009-09-01,12.08
2009-10-01,13.52
2009-11-01,20.41
2009-12-01,16.99
2010-01-01,21.72
2010-02-01,20.72
2010-03-01,18.57
2010-04-01,15.59
2010-05-01,9.93
2010-06-01,8.26
2010-07-01,7.99
2010-08-01,8.91
2010-09-01,12.36
2010-10-01,16.02
2010-11-01,19.15
2010-12-01,20.35
2011-01-01,24.03
2011-02-01,22.55
2011-03-01,19.25
2011-04-01,14.94
2011-05-01,10.39
2011-06-01,9.08
2011-07-01,8.22
2011-08-01,10.36
2011-09-01,12.24
2011-10-01,15.17
2011-11-01,18.77
2011-12-01,18.94
2012-01-01,20.92
2012-02-01,20.34
2012-03-01,18.23
2012-04-01,15.48
2012-05-01,10.26
2012-06-01,9.39
2012-07-01,8.51
2012-08-01,8.55
2012-09-01,11.78
2012-10-01,14.94
2012-11-01,19.06
2012-12-01,21.18
2013-01-01,23.17
2013-02-01,21.36
2013-03-01,19.59
2013-04-01,15.5
2013-05-01,11.78
2013-06-01,10.26
2013-07-01,9.35
2013-08-01,10.03
2013-09-01,13.57
2013-10-01,15.03
2013-11-01,17.66
2013-12-01,20.76
