ddate,adult_carp_number
1993-01-01,139519.0658
1993-02-01,12994.5846
1993-03-01,66454.1156
1993-04-01,21665.2652
1993-05-01,10092.929
1993-06-01,8543.9446
1993-07-01,67624.132
1993-08-01,94340.2468
1993-09-01,70712.012
1993-10-01,73481.6756
1993-11-01,75400.2756
1993-12-01,69441.068
1994-01-01,161640.7706
1994-02-01,109593.8284
1994-03-01,105826.7348
1994-04-01,94052.4488
1994-05-01,10579.5456
1994-06-01,10124.8964
1994-07-01,10695.2468
1994-08-01,11860.5232
1994-09-01,51504.4012
1994-10-01,31834.0306
1994-11-01,27712.6072
1994-12-01,55386.5182
1995-01-01,70162.1114
1995-02-01,84769.7428000001
1995-03-01,66614.0822
1995-04-01,11814.0888
1995-05-01,66949.0592
1995-06-01,54376.048
1995-07-01,67420.7536
1995-08-01,67389.3596
1995-09-01,70341.6972
1995-10-01,25930.0176
1995-11-01,66942.8728
1995-12-01,62719.7634
1996-01-01,61804.7508
1996-02-01,69289.6218
1996-03-01,69163.6386
1996-04-01,14903.9562
1996-05-01,13083.6156
1996-06-01,10678.06
1996-07-01,56601.4248
1996-08-01,68052.366
1996-09-01,77163.3044
1996-10-01,76697.2104
1996-11-01,80021.0004
1996-12-01,64526.3918
1997-01-01,59714.1752
1997-02-01,12466.8964
1997-03-01,12618.9544
1997-04-01,13674.6934
1997-05-01,13389.728
1997-06-01,10779.21
1997-07-01,54087.668
1997-08-01,10682.7448
1997-09-01,60711.1272
1997-10-01,60210.2228
1997-11-01,68163.5792
1997-12-01,13534.3298
1998-01-01,18450.8946
1998-02-01,70164.0234
1998-03-01,14455.5748
1998-04-01,14537.8526
1998-05-01,10885.012
1998-06-01,57075.168
1998-07-01,67484.5792
1998-08-01,77685.9132
1998-09-01,122858.5112
1998-10-01,98529.108
1998-11-01,74980.2844
1998-12-01,71997.1788
1999-01-01,62266.358
1999-02-01,12065.6812
1999-03-01,66593.5466
1999-04-01,64950.0584
1999-05-01,53874.1396
1999-06-01,53843.7428
1999-07-01,54443.1052
1999-08-01,72116.3172
1999-09-01,72799.2056
1999-10-01,89556.183
1999-11-01,86583.5828
1999-12-01,113985.7672
2000-01-01,94815.6722
2000-02-01,85443.0182
2000-03-01,61412.945
2000-04-01,91866.175
2000-05-01,76911.8248
2000-06-01,64956.2532
2000-07-01,66712.5096
2000-08-01,106612.2348
2000-09-01,89968.7736
2000-10-01,96039.1044
2000-11-01,96023.5538
2000-12-01,95792.1078
2001-01-01,61869.8612
2001-02-01,66065.0344
2001-03-01,63426.6498
2001-04-01,59730.5696
2001-05-01,55783.094
2001-06-01,59661.8744
2001-07-01,53942.874
2001-08-01,61474.2836
2001-09-01,72325.5004
2001-10-01,71266.5728
2001-11-01,66766.1872
2001-12-01,71078.1002
2002-01-01,16789.741
2002-02-01,73185.747
2002-03-01,78391.9826
2002-04-01,77700.6906
2002-05-01,56858.3468
2002-06-01,52882.5308
2002-07-01,52747.6604
2002-08-01,15223.4856
2002-09-01,58755.3444
2002-10-01,14028.419
2002-11-01,14730.499
2002-12-01,14148.8012
2003-01-01,14342.1146
2003-02-01,62747.593
2003-03-01,59782.2318
2003-04-01,59342.3994
2003-05-01,11529.052
2003-06-01,52550.1768
2003-07-01,52954.8464
2003-08-01,68765.2476
2003-09-01,56514.054
2003-10-01,58126.7388
2003-11-01,58350.0282
2003-12-01,56611.5304
2004-01-01,55459.9936
2004-02-01,58225.9056
2004-03-01,57185.482
2004-04-01,12395.904
2004-05-01,10850.0624
2004-06-01,53004.6198
2004-07-01,52474.5014
2004-08-01,54090.181
2004-09-01,53750.6406
2004-10-01,59596.7468
2004-11-01,57993.394
2004-12-01,70639.4824
2005-01-01,69150.5344
2005-02-01,57717.7298
2005-03-01,56724.5186
2005-04-01,11551.3342
2005-05-01,10535.9392
2005-06-01,53168.2154
2005-07-01,53485.543
2005-08-01,66099.4272
2005-09-01,74019.867
2005-10-01,79342.7146
2005-11-01,87482.4762
2005-12-01,60546.6122
2006-01-01,58413.3068
2006-02-01,61244.5486
2006-03-01,58212.7586
2006-04-01,12141.6402
2006-05-01,10752.732
2006-06-01,10785.4864
